AR Mean Wind (m/s)	AR Mean IWV (kg/m2)	AR Mean IVT (kg/m/s)	AR Mean Precip (mm/day)	Central Lon (deg)	Central Lat (deg)
13.175160936328684	17.678009033203125	209.97120666503906	0.5777963732109695	238.583	27.437
16.890276459931627	31.88282012939453	468.563232421875	13.843098309885459	295.794	36.215
12.528890461834393	19.247177124023438	213.5210418701172	4.162324836455196	21.008	50.282
18.855343246683756	14.568103790283203	242.1319122314453	12.431676415248692	174.419	65.658
20.171610468275624	20.559221267700195	334.7242736816406	9.870814453125	340.909	41.15
12.745815550966608	19.715373992919922	223.81033325195312	0.6934070910437632	56.548	46.412
17.01752584283053	21.650150299072266	318.0877990722656	14.410828760065185	263.379	36.323
19.04086458813809	15.914264678955078	263.8468017578125	7.463335264532059	355.695	49.701
27.89701430246302	17.364736557006836	400.015869140625	20.982978515625	314.494	52.651
16.109777842440703	16.088945388793945	227.3594970703125	4.2128436748798075	29.912	52.358
14.471660896399994	11.621847152709961	180.7398223876953	8.596606151167169	175.061	66.798
11.16393231250722	41.92165756225586	401.7372741699219	21.99417898995536	191.978	21.558
10.11092083641202	16.964740753173828	152.7274932861328	5.087338009396115	103.61	39.579
18.39620101652762	24.19011116027832	385.66741943359375	19.406491649394134	271.44	35.4
16.545640520274205	17.145450592041016	259.92645263671875	12.215038469445851	5.58	53.893
8.516278415520517	18.334718704223633	145.93804931640625	6.412399397225215	105.611	40.322
9.45657449918313	31.31694793701172	302.8326721191406	11.089397471438172	114.455	30.334
13.890717200320712	31.987640380859375	361.8241882324219	19.438514775815218	274.835	32.833
15.101660021647735	19.576398849487305	267.9488220214844	7.040306115999191	12.96	51.291
17.85609598086739	18.265365600585938	270.4787292480469	6.892270980342742	191.884	50.795
15.16453126467346	28.825361251831055	409.4443054199219	11.458323317307693	317.054	42.563
12.88752571294792	34.2860221862793	420.9307861328125	13.255701363561007	125.455	34.93
11.484560750089722	17.949504852294922	192.3000946044922	0.4776926618633848	243.038	30.815
17.558843597184136	19.177337646484375	281.0833435058594	3.6749283535028594	3.43	38.336
22.500357037645653	17.45786476135254	324.8305969238281	11.609357927229022	343.787	51.87
17.235632789731387	14.546283721923828	235.57005310058594	3.3926667819057936	39.078	62.401
18.56460549159758	33.081398010253906	561.6363525390625	11.677881333434467	144.877	38.099
15.111214167305079	16.372432708740234	225.9143524169922	5.42596890063996	204.535	52.959
15.535512860558399	11.112045288085938	162.6139678955078	1.6494985567469176	57.559	68.109
18.521271690923037	30.336427688598633	486.4010925292969	13.522091427364865	302.728	37.843
13.33486048987224	28.160615921020508	339.1063232421875	8.905523758900317	272.834	36.486
14.135164396233169	19.21155548095703	236.9913787841797	8.132975260416666	64.392	57.676
15.80751734128351	14.871214866638184	211.85975646972656	8.073185382503095	209.396	58.17
18.819237541190496	30.104896545410156	529.94482421875	11.176690204326922	171.602	43.626
17.554507917528614	26.358970642089844	401.3938903808594	12.974540169783465	293.91	38.548
12.515636471385765	20.72960090637207	240.23045349121094	3.540305089468908	77.565	65.483
11.23687790315445	13.923669815063477	142.49447631835938	6.437645714562218	224.358	62.627
19.296344399719697	26.302610397338867	464.55133056640625	7.463107534555289	179.699	44.982
19.28743493044687	25.92664337158203	436.8783874511719	8.293282214506172	293.146	38.821
12.801055214003474	12.985868453979492	143.68080139160156	3.2129137375775505	238.333	60.955
8.484092176379352	20.31640625	182.26712036132812	3.921140398297991	104.708	71.845
17.961319050210314	24.222631454467773	392.12469482421875	2.714736836068582	189.401	45.292
17.814416171242282	25.976348876953125	409.079833984375	5.144670254922326	302.621	39.33
14.088371880883546	12.357754707336426	152.03494262695312	3.0165921379538143	239.459	56.201
11.610426120138953	15.882068634033203	170.43873596191406	4.1220843975360575	17.164	58.999
10.261313674187516	28.033737182617188	264.92279052734375	0.6248518597384739	231.54	21.1
16.30290933059318	31.70319175720215	469.5735778808594	3.55628101245777	301.744	35.207
15.757238782214811	25.654870986938477	352.4111022949219	9.953277449802036	326.514	45.679
10.313176751127891	27.12709617614746	249.05471801757812	0.4519904000418527	231.765	22.678
21.456944507915907	18.326251983642578	184.3324737548828	0.05775262415409088	57.591	30.181
13.12113799299301	17.30348777770996	207.83489990234375	5.323682124071782	26.769	62.814
12.08707514622103	13.354217529296875	148.42213439941406	1.4547739028930664	254.221	60.12
16.14445765350502	28.147167205810547	397.2634582519531	5.958052201704546	314.993	40.477
11.01496608799839	26.900299072265625	250.84605407714844	1.6705878286650686	44.282	26.602
16.53729479868244	44.557106018066406	620.8638916015625	16.024683459051722	139.901	31.665
12.225391572359486	15.04971981048584	163.99827575683594	1.5554046630859375	267.835	60.846
15.639052211411027	18.64177131652832	266.1785583496094	3.3474833802406834	42.228	68.983
16.857204875411778	26.832332611083984	388.00164794921875	2.3029268264770506	320.023	43.451
19.53594462872537	22.434677124023438	384.78765869140625	10.061154923349056	184.742	43.528
13.576714929167363	17.18175506591797	160.6599884033203	1.5319358601289637	95.941	62.559
14.757602269831713	14.773032188415527	195.24118041992188	5.400724386867089	270.205	59.477
13.67411199453241	16.255125045776367	194.91778564453125	3.5581501805505087	62.374	69.785
10.739720248165069	33.381370544433594	329.9070129394531	0.9474350949551197	229.453	20.407
17.550771257261044	39.29633331298828	593.8221435546875	8.970955403645833	147.201	34.102
15.19643286981913	27.851959228515625	398.4425964355469	2.0443172011264537	331.794	43.155
18.102054995583888	13.034642219543457	162.04713439941406	1.8735180082775298	114.386	60.756
9.035516311624168	30.455276489257812	241.00546264648438	0.8498043115588202	229.183	22.0
15.707606224627526	24.619976043701172	347.8956604003906	3.3416704165390114	346.443	40.564
14.139251372229865	31.984216690063477	396.7752685546875	13.050029613353589	268.463	33.322
17.186547086602666	13.575867652893066	204.60360717773438	1.7185918228093522	274.147	58.848
13.937220344162943	12.118202209472656	157.9916534423828	0.6293089685361247	94.368	66.588
21.108747612487672	29.18587875366211	520.2166748046875	8.062755281963046	161.242	39.538
15.86172154976805	19.980249404907227	288.5025634765625	5.105484569046976	351.57	47.589
13.318173980138544	20.030628204345703	232.29722595214844	6.458448771338106	272.244	54.852
15.54362648966106	35.30441665649414	411.9022216796875	12.888189227764423	304.669	32.276
21.440714459094764	24.63856315612793	453.6482849121094	4.6185858871328795	177.113	41.228
17.66235351503474	18.820323944091797	266.52642822265625	7.688464243477638	217.576	47.934
15.679700427001807	8.369698524475098	121.59459686279297	0.31474549429757254	107.184	61.027
14.394133740652489	21.727975845336914	285.1011962890625	5.201271005924916	278.172	54.702
14.921266287382007	19.899085998535156	258.14508056640625	6.63827367772393	5.455	47.136
15.605592878034269	12.314423561096191	150.61398315429688	1.0931995276248816	157.398	60.639
15.714094495810269	45.77155685424805	568.8583984375	15.141910710983728	145.497	30.976
17.174494461812927	31.383373260498047	415.3415832519531	13.831194072750444	317.139	35.438
20.10852193319763	26.292787551879883	455.12847900390625	6.341930263089818	203.11	38.898
12.138153827823997	37.10636901855469	423.4556884765625	6.504663226248204	98.136	20.566
13.400285644131767	20.470897674560547	260.7591247558594	4.185298246495864	287.286	58.228
12.994966428525423	11.880316734313965	121.59413146972656	0.9914274215698242	173.372	65.241
12.04788094797526	10.891851425170898	119.9041519165039	0.49001285641692405	213.743	67.586
15.565317127237734	30.55015754699707	390.41143798828125	9.709314982096354	321.892	36.009
17.416807097366064	43.08313751220703	580.5133056640625	15.814105735476321	154.05	33.837
11.44575495525217	27.233970642089844	256.05450439453125	6.265497324418049	258.447	32.533
16.11527930286441	25.12193489074707	360.56878662109375	6.040301186697824	217.161	41.592
13.00649903726335	21.065563201904297	226.17459106445312	6.3878070462134575	23.033	50.973
15.278253558552102	32.74567413330078	435.28546142578125	12.811911136470037	316.591	31.774
18.49362463316784	29.25328254699707	466.6241149902344	9.245904558404558	188.178	38.327
12.869203784008292	16.72620964050293	209.79910278320312	1.2153296060120033	296.899	61.922
9.829507620836129	22.507495880126953	207.53933715820312	4.904285481770834	24.885	51.171
16.802305826300312	23.986623764038086	388.7856140136719	4.657486039632852	216.946	40.878
16.778014040015258	23.153867721557617	334.43231201171875	6.671200338224085	349.131	48.853
12.121990542970858	15.456401824951172	174.44046020507812	4.9958854718396895	127.882	52.13
10.671294745698457	17.807340621948242	170.6602783203125	2.384764117959105	51.669	68.526
17.23763486432592	11.52023696899414	180.6544189453125	0.9690201392540565	302.249	69.502
15.297371944865384	37.954254150390625	525.2643432617188	18.54361636513158	310.623	27.043
21.013803208704704	31.766437530517578	566.4432373046875	4.127523040771484	165.943	37.21
18.519840555033145	20.54123306274414	349.56549072265625	9.645751493349811	223.778	45.103
17.912329042338094	18.8277587890625	293.2940368652344	4.577831330846568	1.599	50.89
10.560850958870052	16.53622817993164	167.71688842773438	6.779214535119398	139.624	56.255
12.200541722495355	14.14947509765625	170.68592834472656	2.041588544845581	272.98	59.971
11.456296911228737	19.698156356811523	205.15687561035156	5.96675499313546	65.073	66.05
14.63936016008421	36.137062072753906	484.73394775390625	12.091786227122274	313.917	29.263
